01-Jan-2016	ED521D	4	100	30	1499	M	N Brewer
02-Jan-2016	ED925H	5	488	30	1499	M	B Saini
02-Jan-2016	AM560D	3	275	40	949	M	S Cooper
02-Jan-2016	ZK201U	1	359	40	474	M	S Chadwick
02-Jan-2016	AM116C	2	173	30	10788	A	L Landry
02-Jan-2016	ED225G	5	302	30	1499	M	L Quing
03-Jan-2016	AM339O	3	614	30	1235	M	E Muncy
03-Jan-2016	AM430K	5	548	30	1860	M	S Watson
03-Jan-2016	ZK390I	1	435	30	5388	A	N Javed
03-Jan-2016	ZK290J	3	896	30	15708	A	A Ragunathan
03-Jan-2016	JB488M	5	412	40	1424	M	H Bray
04-Jan-2016	ED679O	1	279	30	5388	A	S Saravati
04-Jan-2016	AM562U	5	396	30	16188	A	W Al-Karachi
04-Jan-2016	AM228Y	1	928	40	693	M	L Tsai-chin
04-Jan-2016	AM344E	3	430	60	849	M	K Maqsood
05-Jan-2016	JB678Z	6	446	60	-1	R	N Al-Amri
05-Jan-2016	JB363X	2	1020	30	-1	R	K Pinter
05-Jan-2016	ED349P	1	228	40	5112	A	W Wilkins
05-Jan-2016	AM334U	1	834	30	730	M	I Caswell
05-Jan-2016	AM237X	3	749	40	1173	M	B Paulsen
06-Jan-2016	ED954F	1	545	70	492	M	S Hamed
07-Jan-2016	AM676L	5	465	50	14568	A	J Elliott
07-Jan-2016	ZK413H	3	691	40	1173	M	E Bonds
07-Jan-2016	AM271T	4	328	30	1499	M	L Lowry
09-Jan-2016	AM482L	3	37	70	799	M	L Stephens
09-Jan-2016	JB825Q	5	218	30	16188	A	C Smith
09-Jan-2016	ZK670J	7	938	30	-1	R	M Harrison
09-Jan-2016	JB172S	5	354	30	16188	A	W Ybarra
09-Jan-2016	AM770L	5	291	30	1499	M	V Warner
09-Jan-2016	ED685F	4	466	60	13752	A	V Borrego
11-Jan-2016	JB437X	2	444	60	849	M	M Kesiraju
11-Jan-2016	ED440E	3	67	30	999	M	R Tompkins
11-Jan-2016	AM275R	2	868	50	14136	A	A Graham
11-Jan-2016	ZK259Y	1	716	30	615	M	M Overby
12-Jan-2016	ED779N	4	287	30	1499	M	K Ivanov
13-Jan-2016	AM843Y	2	62	30	999	M	A Mahan
13-Jan-2016	AM256R	3	398	70	799	M	F Sullivan
14-Jan-2016	AM721G	1	153	30	499	M	M Onyango
